"strong","lemma","gloss","freq","vu","updatedAt"
"G5462","φωτισμός","lumière brillante, resplendissement","2","false","null"
"G5463","χαίρω","se réjouir, être heureux","74","true","2024-11-01 08:15:49.825"
"G5464","χάλαζα","grêle","4","false","null"
"G5465","χαλάω","descendre; dévaler; lâcher","7","false","null"
"G5466","Χαλδαῖος","Chaldéen = «comme des briseurs de mottes»","1","false","null"
"G5467","χαλεπός","fâcheux, difficile, éprouvant, violent","2","false","null"
"G5468","χαλιναγωγέω","tenir en bride, empêcher d’agir, retenir","2","false","null"
"G5469","χαλινός","mors","2","false","null"
"G5470","χάλκεος","d’airain, fabriqué en airain","1","false","null"
"G5471","χαλκεύς","ouvrier en cuivre","1","false","null"
"G5472","χαλκηδών","calcédoine","1","false","null"
"G5473","χαλκίον","vase d’airain, plat, récipient d’airain","1","false","null"
"G5474","χαλκολίβανος","airain brillant","2","false","null"
"G5475","χαλκός","monnaie","5","false","null"
"G5476","χαμαί","en terre, sur le sol, par terre","2","false","null"
"G5477","Χαναάν","Canaan = «terre basse»","2","false","null"
"G5478","Χανααναῖος","Cananéen","1","false","null"
"G5479","χαρά","joie, réjouissance","59","true","2024-11-01 08:15:49.825"
"G5480","χάραγμα","marque, empreinte, œuvre sculptée","8","false","null"
"G5481","χαρακτήρ","empreinte","1","true","2024-11-01 08:15:49.825"
"G5482","χάραξ","tranchée, rempart","1","false","null"
"G5483","χαρίζω","donner gratuitement, faire cadeau","23","true","2024-11-01 08:15:49.825"
"G5484","χάριν","pour quelle raison","9","false","null"
"G5485","χάρις","grâce, remerciement, action de grâce, récompense","154","true","2024-11-01 08:15:49.825"
"G5486","χάρισμα","don de grâce","17","false","null"
"G5487","χαριτόω","faire jouir de la faveur, favoriser, rendre agréable","2","false","null"
"G5488","Χαρράν","Charran (Charan, Haran) = «un montagnard»","2","false","null"
"G5489","χάρτης","papier","1","false","null"
"G5490","χάσμα","gouffre, ouverture béante, abîme","1","false","null"
"G5491","χεῖλος","lèvre, rivage","7","false","null"
"G5492","χειμάζω","battre par la tempête","1","false","null"
"G5493","χείμαρρος","torrent","1","false","null"
"G5494","χειμών","hiver, orage, tempête","6","false","null"
"G5495","χείρ","main","177","true","2024-11-01 08:15:49.825"
"G5496","χειραγωγέω","conduire par la main","2","false","null"
"G5497","χειραγωγός","quelqu’un qui conduit par la main, guide","1","false","null"
"G5498","χειρόγραφος","obligation, ordre écrit, nécessité, exigence","1","false","null"
"G5499","χειροποίητος","qui est fait de main, fabriqué par l’homme","6","false","null"
"G5500","χειροτονέω","choisir, nommer, désigner","2","false","null"
"G5501","χείρων","pire","11","true","2024-11-01 08:15:49.825"
"G5502","χερουβίμ","chérubin","1","true","2024-11-01 08:15:49.825"
"G5503","χήρα","la veuve","26","true","2024-11-01 08:15:49.825"
"G5504","χθές","hier","3","false","null"
"G5505","χιλιάς","millier, nombre d’environ mille","23","false","null"
"G5506","χιλίαρχος","chilliarque","21","false","null"
"G5507","χίλιοι","mille, un nombre","11","false","null"
"G5508","Χίος","Chios = «neigeux»","1","false","null"
"G5509","χιτών","robe; tunique; vêtement de dessous","11","false","null"
"G5510","χιών","neige","2","false","null"
"G5511","χλαμύς","chlamyde","2","false","null"
"G5512","χλευάζω","se moquer, mépriser, se railler","1","false","null"
"G5513","χλιαρός","tiède","1","true","2024-11-01 08:15:49.825"
"G5514","Χλόη","Chloé = «une herbe verte»","1","false","null"
"G5515","χλωρός","vert; livide; verdure","4","false","null"
"G5517","χοϊκός","fait de terre, poussière","4","false","null"
"G5518","χοῖνιξ","mesure","2","false","null"
"G5519","χοῖρος","pourceau, cochon, porc","12","false","null"
"G5520","χολάω","être irrité, être fâché","1","false","null"
"G5521","χολή","fiel","2","false","null"
"G5522","χόος","poussière","2","false","null"
"G5523","Χοραζίν","Chorazin = «une fournaise de fumée»","2","false","null"
"G5524","χορηγέω","fournir, pourvoir, donner","2","false","null"
"G5525","χορός","danse","1","false","null"
"G5526","χορτάζω","rassasier; remplir son ventre","16","false","null"
"G5527","χόρτασμα","nourriture pour les humains ou les troupeaux","1","false","null"
"G5528","χόρτος","foin; herbe; tige","15","false","null"
"G5529","Χουζᾶς","Chuza = «le voyant»","1","false","null"
"G5530","χράω","employer; traiter; user","11","false","null"
"G5531","χράω","prêter","1","false","null"
"G5532","χρεία","le besoin","49","true","2024-11-01 08:15:49.825"
"G5533","χρεωφειλέτης","débiteur","2","false","null"
"G5534","χρή","il faut, il convient","1","false","null"
"G5535","χρῄζω","avoir besoin","5","false","null"
"G5536","χρῆμα","biens, richesses","6","false","null"
"G5537","χρηματίζω","avertir divinement, instruire","9","false","null"
"G5538","χρηματισμός","réponse divine","1","false","null"
"G5539","χρήσιμος","profit, utilité","1","false","null"
"G5540","χρῆσις","usage, rapport, relation","2","false","null"
"G5541","χρηστεύομαι","être plein de bonté, rendre service","1","false","null"
"G5542","χρηστολογία","douce parole, belle parole, langage doucereux","1","false","null"
"G5543","χρηστός","bonté, bonne qualité, bienfaisance","7","false","null"
"G5544","χρηστότης","bienveillance, bonne qualité, d’où bonté, obligeance","10","false","null"
"G5545","χρῖσμα","onction","3","false","null"
"G5546","Χριστιανός","chrétien","3","false","null"
"G5547","Χριστός","Christ = «oint», le messie","529","true","2024-11-01 08:15:49.825"
"G5548","χρίω","oindre","5","false","null"
"G5549","χρονίζω","tarder, prendre son temps","5","false","null"
"G5550","χρόνος","le temps","53","true","2024-11-01 08:15:49.825"
"G5551","χρονοτριβέω","dépenser son temps, perdre du temps, s’attarder","1","false","null"
"G5552","χρύσεος","d’or, fait d’or","18","false","null"
"G5553","χρυσίον","or","11","true","2024-11-01 08:15:49.825"
"G5554","χρυσοδακτύλιος","qui porte un ou des anneaux d’or aux doigts","1","false","null"
"G5555","χρυσόλιθος","chrysolithe","1","true","2024-11-01 08:15:49.825"
"G5556","χρυσόπρασος","chrysoprase, pierre précieuse","1","false","null"
"G5557","χρυσός","or","9","true","2024-11-01 08:15:49.825"
"G5558","χρυσόω","parer","2","false","null"
"G5559","χρώς","corps, surface du corps, peau","1","false","null"
"G5560","χωλός","boiteux, estropié","14","false","null"
"G5561","χώρα","la campagne","28","true","2024-11-01 08:15:49.825"
"G5562","χωρέω","aller; avoir une entrée; se trouver de place; venir; recevoir; contenir","10","false","null"
"G5563","χωρίζω","séparer, diviser; partir","13","true","2024-12-19 11:21:50"
"G5564","χωρίον","champ; lieu; domaine; terre","10","false","null"
"G5565","χωρίς","outre; sans","40","false","null"
"G5566","χῶρος","nord-ouest","1","false","null"
"G5567","ψάλλω","chanter, chanter des cantiques, dire une hymne, psalmodier","5","false","null"
"G5568","ψαλμός","psaume","7","false","null"
"G5569","ψευδάδελφος","faux frère, sans l’être véritablement","2","false","null"
"G5570","ψευδαπόστολος","faux apôtre","1","false","null"
"G5571","ψευδής","faux, menteur, trompeur","3","false","null"
"G5572","ψευδοδιδάσκαλος","faux docteur, faux enseignant","1","false","null"
"G5573","ψευδολόγος","qui dit des mensonges, qui trompe","1","false","null"
"G5574","ψεύδομαι","mentir, commettre le mensonge","12","false","null"
"G5575","ψευδομάρτυρ","faux témoin","2","false","null"
"G5576","ψευδομαρτυρέω","dire de faux témoignages","5","false","null"
"G5577","ψευδομαρτυρία","faux témoignage","2","false","null"
"G5578","ψευδοπροφήτης","faux prophète","11","true","2024-11-01 08:15:49.825"
"G5579","ψεῦδος","mensonge","10","false","null"
"G5580","ψευδόχριστος","faux christ","2","false","null"
"G5581","ψευδώνυμος","faussement nommé, soi-disant, prétendu","1","false","null"
"G5582","ψεῦσμα","mensonge, fausseté","1","false","null"
"G5583","ψεύστης","menteur","10","false","null"
"G5584","ψηλαφάω","toucher en tâtonnant, sentir physiquement","4","false","null"
"G5585","ψηφίζω","calculer, compter","2","false","null"
"G5586","ψῆφος","caillou, pierre, fragment de roche","3","false","null"
"G5587","ψιθυρισμός","insinuation, dénigrement","1","false","null"
"G5588","ψιθυριστής","délateur, dénonciateur","1","false","null"
"G5589","ψιχίον","miette, petite parcelle","2","false","null"
"G5590","ψυχή","le souffle, l’âme","102","true","2024-11-01 08:15:49.825"
"G5591","ψυχικός","homme naturel, animal","6","false","null"
"G5592","ψῦχος","froid, absence de chaleur","3","false","null"
"G5593","ψυχρός","froid, insensible, sans chaleur","4","false","null"
"G5594","ψύχω","refroidir","1","false","null"
"G5595","ψωμίζω","donner à manger, alimenter","2","false","null"
"G5596","ψωμίον","morceau, fragment, bout","4","false","null"
"G5597","ψώχω","froisser, frotter","1","false","null"
"G5598","Ὦ","Oméga","3","false","null"
"G5599","ὦ","Ô!","17","true","2024-11-01 08:15:49.825"
"G5601","Ὠβήδ","Obed (ou Jobed) = «qui sert (Dieu)»","3","false","null"
"G5602","ὧδε","ici","61","true","2024-11-01 08:15:49.825"
"G5603","ᾠδή","cantique, chant en général, plus spécifiquement","7","false","null"
"G5604","ὠδίν","douleur, souffrance physique, peine","4","false","null"
"G5605","ὠδίνω","souffrir les douleurs de l'enfantement","3","true","2024-11-01 08:15:49.825"
"G5606","ὦμος","épaule","2","false","null"
"G5608","ὠνέομαι","acheter","1","false","null"
"G5609","ᾠόν","œuf","1","false","null"
"G5610","ὥρα","heure, moment","106","true","2024-11-01 08:15:49.825"
"G5611","ὡραῖος","beau","4","false","null"
"G5612","ὠρύομαι","rugir","1","false","null"
"G5613","ὡς","comme","501","true","2024-11-01 08:15:49.825"
"G5614","ὡσαννά","Hosanna = «sauve, maintenant!»","6","true","2024-11-01 08:15:49.825"
"G5615","ὡσαύτως","de la même manière, de même","17","false","null"
"G5616","ὡσεί","environ, presque, à peu près","20","false","null"
"G5617","Ὡσηέ","Osée (Hosea) = «salut»","1","false","null"
"G5618","ὥσπερ","de même façon que, de même que","36","true","2024-11-01 08:15:49.825"
"G5619","ὡσπερεί","comme si","1","false","null"
"G5620","ὥστε","de manière à, de sorte que, si bien que, donc, ainsi, en conséquence","83","true","2024-11-01 08:15:49.825"
"G5621","ὠτίον","oreille, organe de l’ouïe","3","false","null"
"G5622","ὠφέλεια","profit, bénéfice, intérêt","2","false","null"
"G5623","ὠφελέω","être profitable; gagner; avoir un profit; servir; tirer profit","15","false","null"
"G5624","ὠφέλιμος","utile, avantageux, profitable","4","false","null"
"G6000","ἀγγέλλω","","1","false","null"
"G6001","ἄγγος","","1","false","null"
"G6002","Ἀδμίν","","1","false","null"
"G6003","ἀθροίζω","","1","false","null"
"G6005","ἀμφιέζω","","1","false","null"
"G6006","ἀμφιβάλλω","","1","false","null"
"G6007","ἄμωμον","","1","false","null"
"G6008","ἀναπηδάω","","1","false","null"
"G6011","βελόνη","","1","false","null"
"G6013","γένημα","","4","false","null"
"G6015","δέος","","1","false","null"
"G6016","διακαθαίρω","","1","false","null"
"G6017","διαχλευάζω","","1","false","null"
"G6018","διενθυμέομαι","","1","false","null"
"G6020","δοκιμασία","","1","false","null"
"G6022","δυσφημέω","","1","false","null"
"G6027","ἐκζήτησις","","1","false","null"
"G6030","ἐκπηδάω","","1","false","null"
"G6031","ἐλεγμός","","1","false","null"
"G6032","ἐμπαιγμονή","","1","false","null"
"G6033","ἔνθεν","","2","false","null"
"G6034","ἐνορκίζομαι","","1","false","null"
"G6035","ἐπάρατος","","1","false","null"
"G6036","ἐπεισέρχομαι","","1","false","null"
"G6037","ἐπισπείρω","","1","false","null"
"G6041","ζηλεύω","","1","false","null"
"G6043","Ἰωδά","","1","false","null"
"G6044","Ἰωσήχ","","1","false","null"
"G6045","καθώσπερ","","1","false","null"
"G6046","καταβαρύνω","","1","false","null"
"G6048","καταδίκη","","1","false","null"
"G6050","κατευλογέω","","1","false","null"
"G6052","κατοικίζω","","1","false","null"
"G6053","κατωτέρω","","1","false","null"
"G6055","κλινάριον","","1","false","null"
"G6058","κρυφαῖος","","2","false","null"
"G6059","κυκλεύω","","1","false","null"
"G6061","μύλινος","","1","false","null"
"G6063","εἴδω","","280","false","2024-11-01 09:52:00"
"G6064","οἰκετεία","","1","false","null"
"G6065","οἰκοδόμος","","1","false","null"
"G6066","ὀλιγοπιστία","","1","false","null"
"G6068","ὀμίχλη","","1","false","null"
"G6069","πανταχῆ","","1","false","null"
"G6071","περαιτέρω","","1","false","null"
"G6072","περιάπτω","","1","false","null"
"G6073","πραϋπαθία","","1","false","null"
"G6074","προπάτωρ","","1","false","null"
"G6075","προσαίτης","","2","false","null"
"G6076","προσκλίνω","","1","false","null"
"G6077","Πύρρος","","1","false","null"
"G6078","πρώτως","","1","false","null"
"G6079","σιτίον","","1","false","null"
"G6080","συγγενίς","","1","false","null"
"G6081","συμπίπτω","","1","false","null"
"G6083","σύνοιδα","","1","false","null"
"G6085","τρῆμα","","1","false","null"
"G6090","ὠτάριον","","2","false","null"
"G6092","ἐκβαίνω","","1","false","null"
"G6094","αὐχέω","","1","false","null"
"G6095","Ἀρνὶ","","1","false","null"
"G6897","διαυγής","","1","false","null"
"G7013","ἐγκαυχάομαι","","1","false","null"
"G7530","εὖγε","","1","false","null"
"G9315","συνεπιτίθημι","","1","false","null"
"G9402","ταπεινοφροσύνη","","1","false","null"
"G9577","ὑπόλειμμα","","1","false","null"
"H0001","אָב","père d’un individu","1213","false","null"
"H0002","אַב","père","9","false","null"
"H0003","אֵב","fraîcheur, herbe verte, ou verdure","2","false","null"
"H0004","אֵב","fruit frais, jeune","3","false","null"
"H0005","אֲבַגְתָא","Abagtha = «heureux, prospère»","1","false","null"
"H0006","אָבַד","périr, s’évanouir, être détruit","184","false","null"
"H0007","אֲבַד","périr, s’évanouir, détruire, être détruit","7","false","null"
"H0008","אֹבֵד","destruction","2","false","null"
"H0009","אֲבֵדָה","une chose perdue, quelque-chose de perdu","4","false","null"
"H0010","אֲבַדּוֹן","une chose perdue, quelque chose de perdu","1","false","null"
"H0011","אֲבַדּוֹן","destruction, ruine, abîme","5","true","2024-11-01 08:15:49.825"
"H0012","אַבְדָ֑ן","destruction","1","false","null"
"H0013","אׇבְדַן","destruction","1","false","null"
"H0014","אָבָה","vouloir, accepter, consentir, obéir","54","false","null"
"H0015","בָּיַי","supplier, désir ardent","1","false","null"
"H0016","אֵ֫בֶה","roseau, papyrus, jonc","1","false","null"
"H0017","אֲבוֹי","hélas! Oh! (exclamation de peine – indique désir ou insatisfaction)","1","false","null"
"H0018","אֵבוּס","mangeoire, crèche","3","false","null"
"H0019","אִבְחָה","abattre, chair, viande, viande abattue","1","false","null"
"H0020","אֲבַטִּחִים","melon d’eau, fruit égyptien","1","false","null"
"H0021","אֲבִי","Abi = «mon père»","1","false","null"
"H0022","אֲבִיאֵל","Abiel = «Dieu est mon père»","3","false","null"
"H0023","אֲבִיאָסָף","Abiasaph = «mon père a rassemblé»","1","false","null"
"H0024","אָבִיב","épis, orge jeune","8","false","null"
"H0026","אֲבִיגַ֫יִל, אֲבִיגַ֫ל","Abigaïl = «mon père est joie»","17","false","null"
"H0027","אֲבִידָן","Abidan = «mon père est juge»","5","false","null"
"H0028","אֲבִידָע","Abida = «père du savoir»","2","false","null"
"H0029","אֲבִיָּה","Abija = «L’Éternel est un père»","25","false","null"
"H0030","אֲבִיהוּא","Abihu = «Dieu est père»","12","false","null"
"H0031","אֲבִיהוּד","Abihud = «père de l’éloge»","1","false","null"
"H0032","אֲבִיחַ֫יִל","Abihaïl = «père de la force»","6","false","null"
"H0033","אֲבִי הָעֶזְרִי","Abiézer = «mon père est secours»","6","false","null"
"H0034","אֶבְיוֹן","dans le besoin, très pauvre, indigent","61","false","null"
"H0035","אֲבִיּוֹנָה","câpre (baie qui stimule le désir)","1","false","null"
"H0036","אֲבִיטוּב","Abithub = «mon père est bonté»","1","false","null"
"H0037","אֲבִיטָ֑ל","Abithal = «mon père est (la) rosée»","2","false","null"
"H0038","אֲבִיָּם","Abijam = «père de la mer»","5","false","null"
"H0039","אֲבִימָאֵל","Abimaël = «mon père est Maël»","2","false","null"
"H0040","אֲבִימֶ֫לֶךְ","Abimélec = «Mélec est père»","67","false","null"
"H0041","אֲבִינָדָב","Abinadab = «père de la générosité»","12","false","null"
"H0042","אֲבִינֹ֫עַם","Abinoam = «père de douceur, ou de beauté»","4","false","null"
"H0043","אֶבְיָסָף, אֲבִיאָסָף","Ebjasaph = «mon père a rassemblé»","3","false","null"
"H0044","אֲבִיעֶ֫זֶר","Abiézer = «père du secours, mon père est un secours»","7","false","null"
"H0045","אֲבִי־עַלְבוֹן","Abi-Albon = «père de force»","2","false","null"
"H0046","אָבִיר","fort, puissant – utilisé seulement pour décrire Dieu","6","false","null"
"H0047","אַבִּיר","puissance, vaillance","17","false","null"
"H0048","אֲבִירָם","Abiram = «mon père est exalté»","11","false","null"
"H0049","אֲבִישַׁג","Abischag = «père d’égarement»","5","false","null"
"H0050","אֲבִישׁוּעַ","Abischua (Abishua) = «père de secours»","5","false","null"
"H0051","אֲבִישׁוּר","Abischur = «mon père est un mur»","2","false","null"
"H0052","אֲבִישַׁי","Abischaï = «mon père est Isaï»","25","false","null"
"H0053","אֲבִישָׁלוֹם","Absalom (Abisalom) = «père de la paix»","111","false","null"
"H0054","אֶבְיָתָר","Abiathar = «père de l’abondance»","30","false","null"
"H0055","אָבַךְ","rouler, tourner","1","false","null"
"H0056","אָבַל","pleur, lamentation","39","false","null"
"H0057","אָבֵל","deuil","8","false","null"
"H0059","אָבֵל","Abel = «endroit verdoyant, prairie»","2","false","null"
"H0060","אֵ֫בֶל","deuil","24","false","null"
"H0061","אֲבָל","vraiment, véritablement, sûrement","11","false","null"
"H0062","אָבֵל בֵּית מַעֲכָה","Abel-Beth-Maaca = «prairie de la maison de Maaca»","12","false","null"
"H0063","אָבֵל הַשִּׁטִּים","Abel-Sittim = «prairie des acacias»","2","false","null"
"H0064","אָבֵל כְּרָמִים","Abel-Keramim = «prairie dans les vignes»","2","false","null"
"H0065","אָבֵל מְחוֹלָה","Abel-Mehola = «prairie de la danse»","6","false","null"
"H0066","אַבֵל מַיִם","Abel-Maïm = «prairie des eaux»","2","false","null"
"H0067","אָבֵל מִצְרַיִם","Abel-Mitsraïm = «prairie de l’Égypte»","2","false","null"
"H0068","אֶ֫בֶן","pierre, rocher","273","true","2024-11-01 08:15:49.825"
"H0069","אֶ֫בֶן","pierre","8","false","null"
"H0070","אֹבֶן","roue, disque","2","false","null"
"H0072","אֶבֶן הָעֵזֶר","Ében-Ézer = «pierre du secours»","6","false","null"
"H0073","אַבְנֵט","gaine, ceinture","9","false","null"
"H0074","אֲבִינֵר","Abner (Abiner) = «père de la lumière»","63","false","null"
"H0075","אָבַס","nourrir, engraisser","2","false","null"
"H0076","אֲבַעְבֻּעֹת","ampoules, furoncles","2","true","2024-11-01 08:15:49.825"
"H0077","אֶ֫בֶץ","Abets = «blancheur, étain»","1","false","null"
"H0078","אִבְצָן","Ibtsan = «blancheur (blanc comme l’étain)»","2","false","null"
"H0079","אָבַק","lutter, en venir aux prises","2","false","null"
"H0080","אָבָק","poussière","6","false","null"
"H0081","אֲבָקָה","aromates, poudres aromatiques, poudre","1","false","null"
"H0082","אָבַר","voler, en battant des ailes","1","false","null"
"H0083","אֵ֫בֶר","aile","3","false","null"
"H0084","אֶבְרָה","aile","4","false","null"
"H0085","אַבְרָהָם","Abraham = «père élevé»","175","false","null"
"H0086","אַבְרֵךְ","(sens douteux) – un cri pour annoncer le char de Joseph","1","false","null"
"H0087","אַבְרָם","Abram = «père élevé»","61","false","null"
"H0088","אֹבֹת","Oboth = «des outres»","4","false","null"
"H0089","אָגֵא","Agué = «fugitif»","1","false","null"
"H0090","אֲגָג","Agag = «flamboyant»","8","false","null"
"H0091","אֲגָגִי","vient d’Agag","5","false","null"
"H0092","אֲגֻדָּה","bande, reliure, cordes, bandes de soldats","4","false","null"
"H0093","אֱגוֹז","noix, noyers","1","false","null"
"H0094","אָגוּר","Agur = «qui rassemble, collectionneur»","1","false","null"
"H0095","אֲגוֹרָה","payement, pièce, pièce de monnaie","1","false","null"
"H0096","אֵ֫גֶל","gouttes, réservoir, collecteur d’eau, magasins","1","false","null"
"H0097","אֶגְלַ֫יִם","Églaïm = «double réservoir»","1","false","null"
"H0098","אֲגַם","mare, bassin troublé","9","false","null"
"H0099","אָגֵם","triste comme de l’eau stagnante","1","false","null"
"H0100","אַגְמֹן","jonc, roseau","5","false","null"
"H0101","אַגָּן","bol, coupe, bassin","3","false","null"
"H0102","אֲגַף","aile (d’une armée), bande, armée, horde","7","false","null"
"H0103","אָגַר","recueillir, rassembler, récolter","3","false","null"
"H0104","אִגְּרָא","lettre, missive","3","true","2024-11-01 08:15:49.825"
"H0105","אֲגַרְטָל","vaisselle, corbeille, sac de cuir, cuvette","2","false","null"
"H0106","אֶגְרֹף","poing","2","false","null"
"H0107","אִגֶּ֫רֶת","lettre, missive","10","false","null"
"H0108","אֵד","brume, vapeur","2","false","null"
"H0109","אָדַב","attrister, affliger, chagriner","1","false","null"
"H0110","אַדְבְּאֵל","Adbeel = «châtié de Dieu»","2","false","null"
"H0111","אֲדַד","Hadad = «puissant»","1","false","null"
"H0112","אִדּוֹ","Iddo = «opportun»","2","false","null"
"H0113","אָדוֹן","Le Seigneur Dieu, Seigneur de toute la terre","333","false","null"
"H0114","אַדּוֹן","Addon = «puissant», « fort», «calamité»","1","false","null"
"H0115","אֲדוֹרַ֫יִם","Adoraïm = «double gloire»","1","false","null"
"H0116","אֱדַ֫יִן","alors, ensuite, depuis ce temps","57","false","null"
"H0117","אַדִּיר","grandeur, majesté","27","false","null"
"H0118","אֲדַלְיָא","Adalia = «ferme, déterminé»","1","false","null"
"H0119","אָדֹם","être de couleur rouge","10","false","null"
"H0120","אָדָם","Adam = «être humain», «de la terre» Adamah  terre, sol","551","false","null"
"H0121","אָדָם","Adam = « être humain»","12","false","null"
"H0122","אֱדֹם","rouge, roux","9","true","2024-11-01 08:15:49.825"
"H0123","אֱדוֹם","Édom = «rouge»","100","false","null"
"H0124","אֹ֫דֶם","rubis","3","false","null"
"H0125","אֲדַמְדָּם","rougeâtre","6","false","null"
"H0126","אַדְמָה","Adma = «de la terre»","5","false","null"
"H0127","אֲדָמָה","terrain, terre, sol","225","false","null"
"H0128","אֲדָמָה","Adama = «la terre, le sol»","1","false","null"
"H0129","אֲדָמִי","Adami = «territoire»","1","false","null"
"H0130","אֲדֹמִי","Édomite","12","false","null"
"H0131","אֲדֻמִּים","Adummim = «terrains rouges»","2","false","null"
"H0132","אַדְמוֹנִי","rouge, roux","3","true","2024-11-01 08:15:49.825"
"H0133","אַדְמָתָא","Admatha = «un témoignage»","1","false","null"
"H0134","אֶ֫דֶן","base, piédestal, socle (fort, ferme)","57","false","null"
"H0135","אַדָּן","Addan = «fort, ferme»","1","false","null"
"H0136","אֲדֹנָי","mon seigneur, seigneur","440","false","null"
"H0137","אֲדֹנִי־בֶ֫זֶק","Adoni-Bézek = «mon Seigneur est Bézek»","6","false","null"
"H0138","אֲדֹנִיָּ֫הוּ","Adonija = «Yahvé est seigneur»","26","false","null"
"H0139","אֲדֹנִי־צֶ֫דֶק","Adoni-Tsédek = «mon seigneur est juste»","4","false","null"
"H0140","אֲדֹנִיקָם","Adonikam = «mon seigneur s’est levé»","3","false","null"
"H0141","אֲדֹנִירָם","Adoniram = «le seigneur est exalté»","2","false","null"
"H0142","אָדַר","être grand, majestueux, sage, noble poétique","3","false","null"
"H0143","אֲדָר","Adar = «glorieux», « aire», «dieu du feu»","8","false","null"
"H0144","אֲדָר","Adar = «glorieux», «aire» assyro-babylonien Addaru  sombre, nuageux","1","false","null"
"H0145","אֶ֫דֶר","gloire, magnificence","2","false","null"
"H0146","אַדָּר","Addar (ou Adar) = «glorieux»","2","false","null"
"H0147","אִדַּר","aire de battage de la moisson","1","false","null"
"H0148","אֲדַרְגָּזֵר","juge, conseiller","2","false","null"
"H0149","אַדְרַזְדָּא","correctement, exactement, sérieusement","1","false","null"
"H0150","אֲדַרְכֹּן","drachme, darique","2","true","2024-11-01 08:15:49.825"
"H0151","אֲדֹרָם","Adoram = «mon Seigneur est exalté»","2","false","null"
"H0152","אַדְרַמֶּ֫לֶךְ","Adrammélec = « (le dieu) Adar est roi»","3","false","null"
"H0153","אֶדְרַע","fort, force, arme, pouvoir, puissance, violence","1","false","null"
"H0154","אֶדְרֶ֫עִי","Édréi = «bon pâturage»","8","false","null"
"H0155","אַדֶּ֫רֶת","gloire, manteau","12","false","null"
"H0157","אָהֵב","aimer","211","false","null"
"H0158","אַ֫הַב","amours (seulement au pluriel)","2","false","null"
"H0159","אֹ֫הַב","objet aimé","1","false","null"
"H0160","אַהֲבָה","amour","38","false","null"
"H0161","אֹ֫הַד","Ohad = «puissant»","2","false","null"
"H0162","אֲהָהּ","ah! Malheur! hélas!","15","false","null"
"H0163","אַהֲוָא","Ahava = «Je subsisterai»","3","false","null"
"H0164","אֵהוּד","contraction de Abihud? éhud = «Je remercierai, je serai loué»","9","false","null"
"H0165","אֱהִי","où","3","false","null"
"H0166","אָהַל","être clair, briller, brillant","1","false","null"
"H0167","אָהַל","dresser, lever, déplacer une tente","3","false","null"
"H0168","אֹ֫הֶל","tente","345","false","null"
"H0169","אֹ֫הֶל","Ohel = «tente»","1","false","null"
"H0170","אׇהֳלָה","Ohola = «sa propre tente»","5","false","null"
"H0171","אׇהֳלִיאָב","Oholiab = «la tente du père»","5","false","null"
"H0172","אׇהֳלִיבָה","Oholiba = «la femme de la tente»","6","false","null"
"H0173","אׇהֳלִיבָמָה","Oholibama = «tente du haut lieu»","8","false","null"
"H0174","אָהָל","aloès (arbre, parfum)","4","false","null"
"H0175","אַהֲרֹן","Aaron = «haut placé ou éclairé»","347","false","null"
"H0176","אוֹ","ou","321","false","null"
"H0177","אוּאֵל","Uel = «volonté de Dieu»","1","false","null"
"H0178","אוֹב","outre en peau pour l’eau","17","false","null"
"H0179","אוֹבִיל","Obil = «conducteur de chameau»","1","false","null"
"H0180","אוּבַל","courant, fleuve, rivière, ruisseau","3","false","null"
"H0181","אוּד","tison, braise","3","false","null"
"H0182","אוֹדָה","cause","11","false","null"
"H0183","אָוָה","désirer, incliner, convoiter, souhaiter, vouloir (nourriture, boisson, appétits corporels)","26","false","null"
"H0184","אָוָה","signer, marquer, décrire avec une marque","1","false","null"
"H0185","אַוָּה","désirer, vouloir (pas nécessairement en mal)","7","false","null"
"H0186","אוּזַי","Uzaï = «je serai arrosé»","1","false","null"
"H0187","אוּזָל","Uzal = «je serai inondé»","3","true","2024-11-01 08:15:49.825"
"H0188","אוֹי","malheur! hélas! oh!","24","false","null"
"H0189","אֱוִי","Évi = «désir, convoitise»","2","false","null"
"H0190","אוֹיָה","malheureux!","1","false","null"
"H0191","אֱוִיל","être fou, sot","26","false","null"
"H0192","אֱוִיל מְרֹדַךְ","Évil-Merodac = «homme de Merodac»","4","false","null"
"H0193","אוּל","pré éminence","1","false","null"
"H0194","אוּלַי","peut-être, par hasard","45","false","null"
"H0195","אוּלַי","Ulaï = «mes chefs (puissants)», «eau boueuse»","2","false","null"
"H0196","אֱוִלִי","sot, insensé","1","false","null"
"H0197","אוּלָם","portique, vestibule","34","false","null"
"H0198","אוּלָם","Ulam = «solitaire»","4","false","null"
"H0199","אוּלָם","mais, mais en effet","19","false","null"
"H0200","אִוֶּ֫לֶת","folie, sottise","25","false","null"
"H0201","אוֹמָר","Omar = «orateur»","3","false","null"
"H0202","אוֹן","vigueur générant le pouvoir","13","false","null"
"H0203","אוֹן","On = «richesse»","1","false","null"
"H0204","אֹן","On = «lumière»","4","false","null"
"H0205","אָ֫וֶן","malheur, méchanceté, douleur","77","false","null"
"H0206","אָ֫וֶן","Aven = «vanité»","2","false","null"
"H0207","אוֹנוֹ","Ono = «fort»","5","false","null"
"H0208","אוֹנָם","Onam = «fort, riche»","4","false","null"
