strong,lemma,inflectionEndings,pos,gloss,freq,updatedAt
H1470,גּוֹזָן,,,Gozan = «une découpe»,5,
H1471,גּוֹי,,,"nation, peuple",561,
H1472,גְּוִיָּה,,,le corps (d’une créature vivante),13,
H1473,גּוֹלָה,,,"l’exil, captivité ; les exilés, les déportés",43,2025-10-03T10:49:37.587Z
H1474,גּוֹלָן,,,Golan = «leur captivité »,4,
H1475,גּוּמָּץ,,,une fosse,1,
H1476,גּוּנִי,,,Guni = «mon défenseur»,4,
H1477,גּוּנִי,,,Gunites = «mon défenseur»,1,
H1478,גָּוַע,,,"expirer, mourir, périr, rendre l’âme, être mort, être moribond",24,
H1479,גּוּף,,,"fermer, clore",1,
H1480,גּוּפָה,,,"corps, cadavre",2,
H1481,גּוּר,,,"séjourner, demeurer, rester, habiter, être un étranger",97,
H1482,גּוּר,,,"petit (d’un animal), jeune",7,
H1483,גּוּר,,,Gur = «séjour»,1,
H1484,גּוֹר,,,petit (d’un animal),2,
H1485,גּוּר־בָּ֑֫עַל,,,Gur-Baal = «demeure de Baal»,2,
H1486,גּוֹרָל,,,sort,78,
H1487,גּוּשׁ,,,"motte de terre, morceau, croûte",1,
H1488,גֵּז,,,"tondre, faucher",4,
H1489,גִּזְבָּר,,,trésorier,1,
H1490,גִּזְבָּר,,,trésorier,1,
H1491,גָּזָה,,,"couper, séparer, enlever",1,
H1492,גִּזָּה,,,toison,7,
H1493,גִּזוֹנִי,,,"Guizon = «tondeur», «dans une carrière»",1,
H1494,גָּזַז,,,"tondre, faucher",15,
H1495,גָּזֵז,,,Gazez = «tondeur»,2,
H1496,גָּזִית,,,"incision, coupure, taille (de pierre)",11,
H1497,גָּזַל,,,"arracher, prendre de force, dérober, voler",30,2025-07-10T14:32:45.000Z
H1498,גָּזֵל,,,"vol, quelque chose de volé",6,
H1500,גְּזֵלָה,,,"vol, pillage, chose volée",6,
H1501,גָּזָם,,,"sauterelles, ver de palmier",3,
H1502,גַּזָּם,,,Gazzam = «dévorant»,2,
H1503,גֶּ֫זַע,,,"tige, tronc, souche (d’un arbre)",3,
H1504,גָּזַר,,,"couper, diviser, abattre, couper en deux, saisir, décréter",13,
H1505,גְּזַר,,,"couper, déterminer",6,
H1506,גֶּ֫זֶר,,,"partager, diviser",2,
H1507,גֶּ֫זֶר,,,Guézer = «portion»,15,
H1508,גִּזְרָה,,,"une coupure, polissage, séparation, vide",8,
H1509,גְּזֵרָה,,,"vide, inhabité, lieu désolé",1,
H1510,גְּזֵרָה,,,décret,2,
H1511,גִּזְרִי,,,"Guirziens = «une pièce, une portion (comme coupée)» = «lieu retranché, précipice»",1,
H1512,גָּחוֹן,,,ventre (des reptiles),2,
H1513,גַּחֶ֫לֶת,,,"charbon, charbon ardent, tison, brasier",18,
H1514,גַּ֫חַם,,,Gaham = «brûlant»,1,
H1515,גַּ֫חַר,,,Gachar = «lieu caché»,2,
H1516,גַּיְא,,,"vallée, une vallée encaissée, une gorge étroite",60,
H1517,גִּיד,,,"tendon, muscle, nerf",7,
H1518,גִּיחַ,,,se lancer en avant,6,
H1519,גִּיחַ,,,interrompre,1,
H1520,גִּיחַ,,,Guiach = «se rompre»,1,
H1521,גִּיחוֹן,,,Guihon = «qui éclate»,6,
H1522,גֵּיחֲזִי,,,Guéhazi = «vallée de la vision»,12,
H1523,גִּיל,,,"se réjouir, exulter, être heureux",45,
H1524,גִּיל,,,"une réjouissance, allégresse",9,
H1525,גִּילָה,,,"joie, réjouissance, allégresse",2,
H1526,גִּילֹנִי,,,"Guilonite = «exode d’une foule», «cercle»",2,
H1527,גִּינַ֑ת,,,Guinath = «protection»,2,
H1528,גִּיר,,,"craie, chaux, plâtre",1,
H1529,גֵּישָׁן,,,"Guéschan = «lourd, massif, masse»",1,
H1530,גַּל,,,"tas, source, une vague, une lame (grosse vague)",34,
H1532,גַּלָּב,,,barbier,1,
H1533,גִּלְבֹּעַ,,,Guilboa = «fontaine jaillissante»,8,
H1534,גַּלְגַּל,,,"roue, faire tourner, tourbillon, tournoiement",11,
H1535,גַּלְגַּל,,,roue,1,
H1536,גִּלְגָּל,,,roue,1,
H1537,גִּלְגָּל,,,Guilgal = «action de rouler»,41,
H1538,גֻּלְגֹּ֫לֶת,,,"tête, scrutin, crâne",12,
H1539,גֶּ֫לֶד,,,peau (humaine),1,
H1540,גָּלָה,,,"découvrir, enlever",186,
H1541,גְּלָא,,,révéler,9,
H1542,גִּלֹה,,,Guilo = «exil»,2,
H1543,גֻּלָּה,,,"bol, source, cuvette, bourrelet",15,
H1544,גִּלּוּל,,,"idoles, image",48,
H1545,גְּלוֹם,,,"couverture, manteau, vêtement",1,
H1546,גָּלוּת,,,"exil, exilés",15,
H1547,גָּלוּ,,,"exil, exilé, captif",4,
H1548,גָּלַח,,,"épiler, raser, se raser, être chauve",23,
H1549,גִּלָּיוֹן,,,"tablette, rouleau, miroir, ornement plat et luisant",2,
H1550,גָּלִיל,,,"gond, croisée (de portes)",4,
H1551,גָּלִיל,,,"Galilée = «cercle, région, district»",6,
H1552,גְלִילָה,,,"circuit, frontière, territoire Galilée = «circuit, district»",5,
H1553,גְּלִילוֹת,,,"Gueliloth = «cercles, circuits»",1,
H1554,גַּלִּים,,,Gallim = «sources»,2,
H1555,גׇּלְיַת,,,Goliath = «exilé»,6,
H1556,גָּלַל,,,"rouler, rouler au loin, rouler ensemble",18,
H1557,גָּלָל,,,"fumier, ordures, fiente",2,
H1558,גָּלָל,,,"à cause de, pour l’amour de, grâce à",10,
H1559,גָּלָל,,,Galal = «influent»,3,
H1560,גְּלָל,,,"de taille (pierres), roulement",2,
H1561,גֵּל,,,"ordure, fumier",3,
H1562,גִּלֲלַי,,,Guilalaï = «pesant»,1,
H1563,גָּלַם,,,"envelopper, plier, rouler",1,
H1564,גֹּ֫לֶם,,,"embryon, foetus",1,
H1565,גַּלְמוּד,,,"dur, stérile, rude, morne",4,
H1566,גָּלַע,,,"exposer, mettre à nu",3,
H1567,גַּלְעֵד,,,Galed = «monceau servant de témoin»,2,
H1568,גִּלְעָד,,,"Galaad = «dur, rugueux, rocheux»",134,
H1569,גִּלְעָדִי,,,Galaadite = «d’une région rocheuse»,11,
H1570,גָּלַשׁ,,,"être assis, se dresser, accrocher",2,
H1571,גַּם,,,"aussi, même, en effet, de plus, oui",769,
H1572,גָּמָא,,,"avaler, dévorer, boire",2,
H1573,גֹּ֫מֶא,,,"jonc, roseau, papyrus",4,
H1574,גֹּ֫מֶד,,,coudée,1,
H1575,גַּמָּדִים,,,"hommes braves, guerriers, hommes valeureux",1,
H1576,גְּמוּל,,,"produit, récompense, bienfait",19,
H1577,גָּמוּל,,,Gamul = «sevré»,1,
H1578,גְּמוּלָה,,,"produit, récompense",3,
H1579,גִּמְזוֹ,,,Guimzo = «fertile en sycomores»,1,
H1580,גָּמַל,,,"traiter, récompenser",37,
H1581,גָּמָל,,,chameau,54,
H1582,גְּמַלִּי,,,Guemalli = «chamelier»,1,
H1583,גַּמְלִיאֵל,,,Gamliel = «récompense de Dieu»,5,
H1584,גָּמַר,,,"finir, amener à une fin, compléter, cesser",5,
H1585,גְּמַר,,,compléter,1,
H1586,גֹּ֫מֶר,,,"Gomer = «accompli, achevé»",6,
H1587,גְּמַרְיָ֫הוּ,,,Guemaria = «l’Éternel a achevé»,5,
H1588,גַּן,,,"jardin, enclos",42,
H1589,גָּנַב,,,"voler, enlever",40,
H1590,גַּנָּב,,,voleur,17,
H1591,גְּנֵבָה,,,"chose volée, dérobée",2,
H1592,גְּנֻבַת,,,"Guenubath = «vol, larcin»",2,
H1593,גַּנָּה,,,"jardin, verger",12,
H1594,גִּנָּה,,,jardin,4,
H1595,גְּנָזִים,,,"trésor, coffres",3,
H1596,גְּנַז,,,trésor,3,
H1597,גַּנְזַךְ,,,trésor,1,
H1598,גָּנַן,,,"défendre, couvrir, entourer, protéger",8,
H1599,גִּנְּתוֹן,,,Guinnethon = «jardinier»,3,
H1600,גָּעָה,,,"beugler, mugir (pour le bétail)",2,
H1601,גֹּעָה,,,Goath = «mugissement»,1,
H1602,גָּעַל,,,"détester, répugner à, être rejeté avec dégoût, tomber",10,
H1603,גַּ֫עַל,,,Gaal = «dégoût»,9,
H1604,גֹּ֫עַל,,,"dégoût, aversion, répugnance",1,
H1605,גָּעַר,,,réprimander,14,2025-07-11T15:12:12.000Z
H1606,גְּעָרָה,,,"réprimande, menace, reproche",15,
H1607,גָּעַשׁ,,,"secouer, trembler",9,
H1608,גַּ֫עַשׁ,,,Gaasch = «tremblement (de terre)»,4,
H1609,גַּעְתָּם,,,"Gaetham = «maigre, faible»",3,
H1610,גַּף,,,"corps, soi, seul, sommet",4,2024-11-01T08:15:49.825Z
H1611,גַּף,,,aile (d’oiseau),3,
H1612,גֶּ֫פֶן,,,"vigne, pied de vigne, cep",55,
H1613,גֹּ֫פֶר,,,"cyprès?, gopher, bois de gopher",1,
H1614,גׇּפְרִית,,,soufre,7,
H1615,גִּר,,,"craie, chaux",1,
H1616,גֵּר,,,"un résidant, un étranger, celui qui séjourne",92,
H1617,גֵּרָא,,,Guéra = «un grain»,9,
H1618,גָּרָב,,,"démangeaison, gale",3,
H1619,גָּרֵב,,,Gareb = «galeux»,3,
H1620,גַּרְגַּר,,,"baie, olive",1,
H1621,גַּרְגְּרוֹת,,,cou (toujours figuré),4,
H1622,גִּרְגָּשִׁי,,,Guirgasien = «demeurant sur un sol argileux»,7,
H1623,גָּרַד,,,"râcler, gratter",1,
H1624,גָּרָה,,,"attaquer, faire la guerre, lutter, se mêler, s’engager dans le combat",14,
H1625,גֵּרָה,,,ruminer,11,
H1626,גֵּרָה,,,"guéra, un poids, vingtième partie d’un sicle, zéro virgule quatre-ving-deux grammes (seize grains d’orge)",5,
H1627,גָּרוֹן,,,"cou, gorge, gosier",8,
H1628,גֵּרוּת,,,lieu où loger,1,
H1629,גָּרַז,,,"couper, chasser",1,
H1630,גְּרִזִים,,,Garizim = «coupant»,4,
H1631,גַּרְזֶן,,,une hache,4,
H1633,גָּרַם,,,"couper, réserver, mettre de côté, laisser, épargner",3,
H1634,גֶּ֫רֶם,,,"os, force",5,
H1635,גְּרַם,,,os,1,
H1636,גַּרְמִי,,,Garmien = «osseux»,1,
H1637,גֹּ֫רֶן,,,aire de battage,36,
H1638,גָּרַס,,,"être écrasé, être brisé",2,
H1639,גָּרַע,,,"diminuer, restreindre, retirer, prendre, couper",22,
H1640,גָּרַף,,,"entraîner, balayer, saisir",1,
H1641,גָּרַר,,,"traîner, emporter",6,
H1642,גְּרָר,,,Guérar = «un lieu de séjour»,10,
H1643,גֶּ֫רֶשׂ,,,"broyage (ce qui est broyé, écrasé), grains, graviers",2,
H1644,גָּרַשׁ,,,"chasser, expulser, jeter dehors, divorcer, répudier, se soulever comme un fleuve ou la mer",47,
H1645,גֶּ֫רֶשׁ,,,"une chose produite, produire, ce qui pousse",1,
H1646,גְרוּשָׁה,,,"expulsion, violence, déposséder, expulser, exaction",1,
H1647,גֵּרְשֹׁם,,,Guerschom = « étranger»,13,
H1648,גֵּרְשׁוֹן,,,"Guerschon = «exil, bannissement»",18,
H1649,גֵּרְשֻׁנִּי,,,"un descendant de Guerschon, premier-né de Lévi",13,
H1650,גְּשׁוּר,,,Gueschur = «orgueilleux»,9,
H1651,גְּשׁוּרִי,,,Gueschuriens = voir Gueschur,6,
H1652,גָּשַׁם,,,pluie,1,
H1653,גֶּ֫שֶׁם,,,"pluie, averse",35,
H1654,גֶּ֫שֶׁם,,,"Guéschem = «pluie, averse»",4,
H1655,גְּשֵׁם,,,corps,5,
H1656,גֹּ֫שֶׁם,,,être arrosé de pluie,1,
H1657,גֹּ֫שֶׁן,,,Gosen = «lieu du soleil»,15,
H1658,גִּשְׁפָּא,,,Guischpa = «caresse»,1,
H1659,גָּשַׁשׁ,,,"sentir avec la main, tâtonner, caresser, tâter",2,
H1660,גַּת,,,"pressoir à raisin, cuve à vin",5,
H1661,גַּת,,,Gath = «pressoir de la vendange»,33,
H1662,גַּת הַחֵ֫פֶר,,,Gath-Hépher (Guittha-Hépher) = «le pressoir du puits»,4,
H1663,גִּתִּי,,,Gathiens = «appartenant à Gath»,10,
H1664,גִּתָּ֑יִם,,,Guitthaïm = «deux pressoirs»,2,
H1665,גִּתִּית,,,Guitthith = «un pressoir»,3,
H1666,גֶּ֫תֶר,,,Guéter = «crainte»,2,
H1667,גַּת־רִמּוֹן,,,Gath-Rimmon = «pressoir à grenades»,8,
H1668,דָּא,,,"ce, cette, l’un, l’autre, l’un ou l’autre",6,
H1669,דָּאֵב,,,"devenir faible, languir",3,
H1670,דְּאָבָה,,,"faiblesse, consternation, défaut d’énergie mentale",1,
H1671,דְּאָבוֹן,,,"faiblissant, languissant, faiblesse, souffrance",1,
H1672,דָּאַג,,,"craindre, être inquiet, s’inquiéter de, avoir peur",7,
H1673,דֹּאֵג,,,"Doëg = «craintif, timide»",6,
H1674,דְּאָגָה,,,"anxiété, angoisse, tourmenté, inquiet",6,
H1675,דָּאָה,,,"voler rapidement, se précipiter à travers les airs",4,
H1676,דָּאָה,,,"oiseau de proie au vol rapide (milan?), oiseau de proie",1,
H1677,דֹּב,,,"ours, ourse",12,
H1678,דֹּב,,,ours,1,
H1679,דֹּ֫בֶא,,,"force?, repos? (sens obscur)",1,
H1680,דָּבַב,,,"bouger doucement, glisser",1,
H1681,דִּבָּה,,,"chuchotement, diffamation, mauvaise rumeur",9,
H1682,דְּבוֹרָה,,,abeille,4,
H1683,דְּבוֹרָה,,,Débora = «abeille»,10,
H1684,דְּבַח,,,offrir en sacrifice,1,
H1685,דְּבַח,,,sacrifice,1,
H1686,דִּבְיוֹנִים,,,fiente de pigeons,1,
H1687,דְּבִיר,,,"le saint des saints, la pièce la plus intérieure du temple ou du tabernacle",16,
H1688,דְּבִיר,,,Debir = «sanctuaire»,14,
H1689,דִּבְלָה,,,Dibla = «lieu du gâteau de figues»,1,
H1690,דְּבֵלָה,,,"gâteau de figues, morceau (masse) de figues pressées",5,
H1691,דִּבְלַ֫יִם,,,Diblaïm = «deux gâteaux»,1,
H1692,דָּבַק,,,"s’accrocher, coller, adhérer, suivre étroitement, se joindre, rattraper, saisir",54,
H1693,דְּבֵק,,,"s’accrocher, être unis",1,
H1694,דֶּ֫בֶק,,,"joints, soudure, défaut (d’une cuirasse)",3,
H1695,דָּבֵק,,,"qui se cramponne, qui s’accroche, qui adhère à",3,
H1696,דָבַר,,,"parler, déclarer, converser, commander, promettre, avertir, menacer, chanter",1142,
H1697,דָּבָר,,,"discours, parole, mot, langage, chose",1442,
H1698,דֶּ֫בֶר,,,"pestilence, peste, fléau",49,
H1699,דֹּ֫בֶר,,,pâturage,3,
H1700,דִּבְרָה,,,"cause, manière, raison",5,
H1701,דִּבְרָה,,,"la cause, raison",2,
H1702,דֹּבְרוֹת,,,"ce qui flotte, radeau",1,
H1703,דַּבֶּ֫רֶת,,,"mot, paroles",1,
H1704,דִּבְרִי,,,Dibri = «loquace»,1,
H1705,דָּֽבְרַת,,,Dabrath = «mot»,3,
H1706,דְּבַשׁ,,,"miel, rayon de miel",54,
H1707,דַּבֶּ֫שֶׁת,,,"grappe, bosse (du chameau)",1,
H1708,דַּבֶּ֫שֶׁת,,,Dabbéscheth = «une colline»,1,
H1709,דָּג,,,poisson,19,
H1710,דָּגָה,,,poisson,15,
H1711,דָּגָה,,,"multiplier, augmenter, accroître",1,
H1712,דָּגוֹן,,,Dagon = «un poisson»,13,
H1713,דָּגַל,,,"paraître, voir",4,
H1714,דֶּ֫גֶל,,,"bannière, étendard",14,
H1715,דָּגָן,,,"blé, céréale, grain, épi, froment",40,
H1716,דָּגַר,,,recueillir ensemble comme une couvée,2,
H1717,דַּד,,,"poitrine, sein, mamelon, tétine",4,
H1718,דָּדָה,,,se déplacer lentement,2,
H1719,דְּדָן,,,Dedan = «région basse»,11,
H1720,דְּדָנִי,,,"De Dedan (Dedanim?) = «qui avance», «région basse»",1,
H1721,רוֹדָנִים,,,Dodanim ou Rodanim = «chefs»,2,
H1722,דְּהַב,,,or,23,
H1723,דֵּהָיֵא,,,De Déha (Déhavites?) = «les maladifs»,1,
H1724,דָּהַם,,,"étonner, stupéfier",1,
H1725,דָּהַר,,,"se ruer, fougue, galop (d’un cheval), caracoler",1,
H1726,דַּהֲרָה,,,"fougue, précipitation, galopade",2,
H1727,דּוּב,,,"languir, déprimer",1,
H1728,דַּוָּג,,,pêcheur,1,
H1729,דּוּגָה,,,"pêche, pêcherie",1,
H1730,דּוֹד,,,"bien-aimé, amour, oncle",61,
H1731,דּוּד,,,"pot, jarre, panier, bouilloire",8,
H1732,דָּוִד,,,David = «bien aimé»,1075,
H1733,דֹּדָה,,,"tante, sœur du père, épouse de l’oncle",3,
H1734,דּוֹדוֹ,,,Dodo = «qui aime»,5,
H1735,דּוֹדָוָהוּ,,,Dodava = «bien-aimé de l’Éternel»,1,
H1736,דּוּדַי,,,"mandragore, pomme d’amour",6,
H1737,דּוֹדַי,,,Dodaï = «aimant»,1,
H1738,דָּוָה,,,"être mal, ne pas être dispos, indisposition féminine",1,
H1739,דָּוֶה,,,"faiblesse, indisposition",5,
H1740,דּוּחַ,,,"rincer, nettoyer par rinçage, chasser, purger, laver, purifier",4,
H1741,דְּוַי,,,"maladie, langueur",2,
H1742,דַּוָּי,,,souffrir (du cœur),3,
H1743,דּוּךְ,,,"broyer, battre, piler (dans un mortier)",1,
H1744,דּוּכִיפַת,,,"vanneau, oiseau impur (probablement la huppe)",2,
H1745,דּוּמָה,,,silence,2,
H1746,דּוּמָה,,,Duma = «silence»,3,
H1747,דּוּמִיָּה,,,"silence, calme, repos, attente tranquille",4,
H1748,דּוּמָם,,,"silence, mutisme",3,
H1749,דּוֹנַג,,,cire (toujours un figuré de fondant),4,
H1750,דּוּץ,,,"sauter, danser, bondir (comme de joie)",1,
H1752,דּוּר,,,"entasser, empiler",1,
H1753,דּוּר,,,demeurer,7,
H1754,כַּדּוּר,,,"balle, cercle",3,
H1755,דּוֹר,,,"période, génération, habitation, demeure",167,
H1756,דֹּאר,,,Dor = «génération»,7,
H1757,דּוּרָא,,,Dura = «demeurant»,1,
H1758,דּוּשׁ,,,"marcher dessus, fouler, battre",16,
H1759,דּוּשׁ,,,"marcher dessus, fouler aux pieds",1,
H1760,דָּחָה,,,"pousser, chasser, déborder, chanceler, exiler, être jeté à terre",8,
H1761,דַּחֲוָה,,,"divertissement, instrument de musique, danseuse, concubine, musique",1,
H1762,דְּחִי,,,"trébucher, chuter",2,
H1763,דְּחַל,,,craindre,6,
H1764,דֹּ֫חַן,,,millet,1,
H1765,דָּחַף,,,"conduire vivement, presser, hâter",4,
H1766,דָּחַק,,,"pousser, opprimer, serrer",2,
H1767,דַּי,,,"suffisance, assez",38,
H1768,דִּי,,,"qui, lequel, que",345,
H1769,"דִּיבֹן, דִּימוֹן",,,Dibon = «trop-plein»,11,
H1770,דִּיג,,,"pêcher, attraper du poisson, attraper",1,
H1771,דַּיָּג,,,pêcheur,2,
H1772,דַּיָּה,,,un oiseau de proie (peut-être le milan),2,
H1773,דְּיוֹ,,,encre,1,
H1774,דִּי זָהָב,,,Di-Zahab = «riche en or»,2,
H1775,דִּימוֹן,,,Dimon = «lit du fleuve»,2,
H1776,דִּימוֹנָה,,,Dimona = «lit du fleuve»,1,
H1777,דִּין,,,"juger, contester, plaider",24,
H1778,דִּין,,,juger,1,
H1779,דִּין,,,jugement,20,
H1780,דִּין,,,jugement,5,
H1781,דַּיָּן,,,un juge,2,
H1782,דַּיָּן,,,juge,1,
H1783,דִּינָה,,,"Dina = «jugement, justice»",8,
H1784,דִּינָיֵא,,,Din = «jugement»,1,
H1785,דָּיֵק,,,"rempart, retranchement, mur d’enceinte",6,
H1786,דַּ֫יִשׁ,,,battage du blé (le procédé),1,
H1787,דִּישֹׁן,,,Dischon = «antilope»,7,
H1788,דִּישֹׁן,,,"Chevreuil, Dishon (qui piétine, qui saute...)",1,
H1789,דִּישָׁן,,,Dischan = «antilope»,5,
H1790,דַּךְ,,,"écraser, opprimer",4,
H1791,דֵּךְ,,,"ce, cette, ces",13,
H1792,דָּכָא,,,"écraser, être écrasé, être contrit, être brisé",18,
H1793,דַּכָּא,,,poussière,3,
H1794,דָּכָה,,,"écraser, être écrasé, être contrit, être brisé",5,
H1795,דַּכָּה,,,un écrasement,1,
H1796,דֳּכִי,,,"écrasement, fougueux, tomber avec fracas, bruit retentissant de vagues",1,
H1797,דִּכֵּן,,,"ce, cette, qui",3,
H1798,דְּכַר,,,bélier,3,
H1799,דָּכְרָן,,,"enregistrement, mémorandum, un mémoire",3,
H1800,דַּל,,,"bas, pauvre, faible, mince, celui qui est bas",47,
H1801,דָּלַג,,,sauter,5,
H1802,דָּלָה,,,"tirer, pendre",5,
H1803,דַּלָּה,,,"cheveux, fil, frange, trame",8,
H1804,דָּלַח,,,"remuer (de l’eau), rendre trouble",3,
H1805,דְּלִי,,,seau,2,
H1806,דְּלָיָ֫הוּ,,,Delaja = «l’Éternel a délivré»,7,
H1807,דְּלִילָה,,,Delila = «faible»,6,
H1808,דָּלִיּוֹת,,,"branche, rameau",8,
H1809,דָּלַל,,,"pendre, languir, suspendre, être bas",9,
H1810,דִּלְעָן,,,Dilean = «gourde»,1,
H1811,דָּלַף,,,"tomber, dégoutter",3,
H1812,דֶּ֫לֶף,,,"une gouttière, déversement",2,
H1813,דַּלְפוֹן,,,Dalphon = «qui déverse»,1,
H1814,דָּלַק,,,"brûler, poursuivre ardemment",9,
H1815,דְּלַק,,,brûler,1,
H1816,דַּלֶּ֫קֶת,,,inflammation,1,
H1817,דֶּ֫לֶת,,,"porte, barrière",88,
H1818,דָּם,,,sang,360,
H1819,דָּמָה,,,"être comme, ressembler à",30,
H1820,דָּמָה,,,"cesser, couper, détruire, périr",15,
H1821,דְּמָה,,,"être comme, semblable",2,
H1822,דֻּמָּה,,,"rendu silencieuse, tranquille par la destruction, ce qui est détruit",1,
H1823,דְּמוּת,,,"ressemblance, similitude",25,
H1824,דֳּמִי,,,"cessation, tranquillité, repos, silence, pause",4,
H1825,דִּמְיֹן,,,ressemblance,1,
H1826,דָּמַם,,,"être silencieux, être tranquille, attendre, être muet",30,
H1827,דְּמָמָה,,,"chuchotement, calme",3,
H1828,דֹּ֫מֶן,,,"fumier (toujours de cadavres, figuré)",6,
H1829,דִּמְנָה,,,Dimna = «tas de fumier»,1,
H1830,דָּמַע,,,"pleurer, fondre en larmes",2,
H1831,דֶּ֫מַע,,,jus,1,
H1832,דִּמְעָה,,,pleurs,23,2024-11-01T08:15:49.825Z
H1833,דְּמֶשֶׁק,,,"damas?, soie? (sens incertain)",1,
H1834,דַּמֶּ֫שֶׂק,,,Damas = «silence de celui qui tisse les sacs pour se vêtir»,45,
H1835,דָּן,,,Dan = «un juge»,70,
H1836,דְּנָה,,,"ce, à cause de ceci",58,
H1837,דַּנָּה,,,Danna = «jugement»,1,
H1838,דִּנְהָ֑בָה,,,Dinhaba = «elle rend le jugement»,2,
H1839,דָּנִי,,,Danites = «juge»,5,
H1840,"דָּנִיֵּאל, דָּנִאֵל",,,"le deuxième fils de David, par Abigaïl",24,
H1841,"דָּנִיֵּאל, דָּנִאֵל",,,Daniel = «Dieu est mon juge»,57,2024-11-01T08:15:49.825Z
H1842,יַעַן,,,Dan-Jaan = «jugement dans un but»,1,
H1843,דֵּעַ,,,"connaissance, opinion",5,
H1844,דֵּעָה,,,connaissance (de Dieu),6,
H1845,דְּעוּאֵל,,,Déuel = «ils connaissent Dieu»,4,
H1846,דָּעַךְ,,,"partir, être éteint, sécher",9,
H1847,דַּ֫עַת,,,connaissance,91,
H1848,דֳּפִי,,,"un défaut, une faute",1,
H1849,דָּפַק,,,"battre, cogner, frapper (à la porte)",3,
H1850,דׇּפְקָה,,,Dophka = «qui frappe»,2,
H1851,דַּק,,,"mince, petit, fin, décharné",14,
H1852,דֹּק,,,"voile, rideau, étoffe",1,
H1853,דִּקְלָה,,,Dikla = «bosquet de palmiers»,2,
H1854,דָּקַק,,,"écraser, pulvériser, battre",13,
H1855,דְּקַק,,,"briser en morceaux, mettre en pièces, être brisé",10,
H1856,דָּקַר,,,"percer, pousser à travers, transpercer",11,
H1858,דַּר,,,"perle,",1,
H1859,דָּר,,,génération,4,
H1860,דֵּרָאוֹן,,,"aversion, abhorrer",2,
H1861,דׇּרְבוֹן,,,aiguillon,2,
H1862,דַּרְדַּע,,,Darda = «perle de la connaissance»,1,
H1863,דַּרְדַּר,,,"chardons, épines, ronces",2,
H1864,דָּרוֹם,,,"le midi, le sud",17,
H1865,דְּרוֹר,,,"un flot, le libre cours, la liberté",8,
H1866,דְּרוֹר,,,"une hirondelle, oiseau",2,
H1867,דָּֽרְיָ֫וֶשׁ,,,Darius,10,2024-12-10T09:21:50.000Z
H1868,דָּֽרְיָ֫וֶשׁ,,,Darius = «seigneur»,15,2024-11-01T08:15:49.825Z
H1869,דָּרַךְ,,,"marcher, plier, tendre, bander un arc, conduire, marcher",63,
H1870,דֶּ֫רֶךְ,,,"route, chemin, sentier, chemin",708,
H1871,דַּרְכְּמוֹן,,,"darique, drachme, unité de mesure",4,
H1872,דְּרַע,,,bras,1,
H1873,דָּרַע,,,Dara = «le bras»,1,
H1874,דַּרְקוֹן,,,Darkon = «qui disperse»,2,
H1875,דָּרַשׁ,,,"Avoir recours à, chercher, s’enquérir, exiger",164,
H1876,דָּשָׁא,,,(qal) verdir ; (hif.) produire de la verdure,2,2025-10-06T08:08:42.110Z
H1877,דֶּ֫שֶׁא,,,"herbe, verdure",14,2025-10-06T08:09:51.741Z
H1878,דָּשֵׁן,,,"être gras, engraisser, devenir prospère, oindre",11,
H1879,דָּשֵׁן,,,gras,3,
H1880,דֶּ֫שֶׁן,,,"cendres grasses, embonpoint",15,
H1881,דָּת,,,"décret, loi, édit, règlement, usage",21,
H1882,דָּת,,,"décret, loi",14,
H1883,דֶּ֫תֶא,,,herbe tendre,2,
H1884,דְּתָבָר,,,"jurisconsulte, interprète de décrets, juge, législateur",2,
H1885,דָּתָן,,,Dathan = «appartenant à une fontaine»,10,
H1886,דֹּתָן,,,Dothan = «deux puits»,3,
H1887,הֵא,,,"voici!, voilà!",2,
H1888,הֵא,,,"voici!, voilà!",2,
H1889,הֶאָח,,,ah! ha! en avant!,12,
H1890,הַבְהָב,,,"don, offrande",1,
H1891,הָבַל,,,"agir d’une façon stérile, devenir vain, être vain",5,
H1892,הֶ֫בֶל,,,"vapeur, souffle",73,
H1893,הֶ֫בֶל,,,"Abel = «souffle, vapeur»",8,
H1894,הָבְנִי,,,ébène,1,
H1895,הָבַר,,,diviser,1,
H1896,הֵגֵא,,,Hégaï ou Hégué = «eunuque»,4,
H1897,הָגָה,,,"gémir, grogner, prononcer, méditer, grommeler, méditer, tramer, comploter, parler",25,
H1898,הָגָה,,,"enlever, emporter",3,
H1899,הֶ֫גֶה,,,"grondement, grognement, gémissement",3,
H1900,הָגוּת,,,"méditation, émission, rêverie, pensées",1,
H1901,הָגִיג,,,"chuchotement, rêverie, murmure, pensée intérieure",2,
H1902,הִגָּיוֹן,,,"méditation, musique qui résonne, rêverie",4,
H1903,הָגִין,,,"convenable, approprié",1,
H1904,הָגָר,,,Agar = «fuite»,12,
H1905,הַגְרִי,,,"Hagaréniens

peuple demeurant à l’est de la Palestine, à qui les tribus de Ruben firent la guerre du temps de Saül
un des serviteurs de David Hagri = «errant»",6,
H1906,הֵד,,,"un cri de joie, un cri",1,
H1907,הַדָּבָר,,,"conseiller, ministre",4,
H1908,הֲדַד,,,Hadad = «puissant»,12,
H1909,"הֲדַדְעֶ֫זֶר, הֲדַרְעֶ֫זֶר",,,Hadadézer = «Hadad est le secours»,9,
